Name,Latitude,Longitude,Year
Melochia_spicata,-26.63833333,-81.30555556,1994
Rhodomyrtus_tomentosa,-26.40694444,-81.82861111,1992
Ipomoea_cairica,-1.066666667,-77.6,1994
Aeschynomene_viscidula,0.00714,-80.36387833,2006
Merremia_umbellata,10.60833333,-67.05,1996
Merremia_umbellata,10.60833333,-67.05,1996
Ipomoea_triloba,13.5,-86.51666667,1966
Ipomoea_pes-caprae,14.01666667,-83.4,1972
Ipomoea_pes-caprae,14.01666667,-83.4,1972
Ipomoea_pes-caprae,14.01666667,-83.4,1972
Ipomoea_pes-caprae,14.01666667,-83.4,1972
Ipomoea_pes-caprae,14.01666667,-83.4,1975
Thelypteris_kunthii,21.73747,-81.89085,2004
Phymatosorus_scolopendria,23.372,-80.18389,2004
Phymatosorus_scolopendria,23.372,-80.18389,2004
Eugenia_axillaris,24.2036,-82.4989,1997
Hypoxis_wrightii,24.415727,-81.231789,1989
Oldenlandia_corymbosa,24.415727,-81.231789,1998
Cardamine_pensylvanica,24.415727,-81.231789,1998
Cyperus_surinamensis,24.415727,-81.231789,1998
Fatoua_villosa,24.415727,-81.231789,1998
Fatoua_villosa,24.415727,-81.231789,1998
Digitaria_filiformis,24.415727,-81.231789,1998
Cyperus_surinamensis,24.415727,-81.231908,1998
Cyperus_surinamensis,24.415727,-81.231789,1998
Cyperus_surinamensis,24.415727,-81.231789,1998
Cyperus_surinamensis,24.415727,-81.231789,1998
Cyperus_surinamensis,24.415727,-81.231789,1998
Cyperus_surinamensis,24.415727,-81.231789,1998
Cyperus_surinamensis,24.415727,-81.231789,1998
Cyperus_surinamensis,24.415727,-81.231789,1998
Cyperus_surinamensis,24.415727,-81.231789,1998
Chamaesyce_blodgettii,24.415727,-81.231789,1998
Centrosema_virginianum,24.415727,-81.231789,1998
Agalinis_fasciculata,24.415727,-81.231789,1998
Agalinis_fasciculata,24.415727,-81.231789,1998
Hypoxis_wrightii,24.415727,-81.231789,1998
Neptunia_pubescens,24.415727,-81.231789,1998
Paspalum_caespitosum,24.415727,-81.231789,1998
Paspalum_caespitosum,24.415727,-81.231789,1998
Pluchea_odorata,24.415727,-81.231789,1998
Polygala_violacea,24.415727,-81.231789,1998
Portulaca_oleracea,24.415727,-81.231789,1998
Portulaca_oleracea,24.415727,-81.231789,1998
Rivina_humilis,24.415727,-81.231789,1998
Rivina_humilis,24.415727,-81.231789,1998
Tridax_procumbens,24.415727,-81.231789,1998
Chamaesyce_hypericifolia,24.415727,-81.231789,1999
Chamaesyce_hypericifolia,24.415727,-81.231789,1999
Centrosema_virginianum,24.415727,-81.231789,1999
Abildgaardia_ovata,24.415727,-81.231789,1999
Mitreola_sessilifolia,24.415727,-81.231789,1999
Physalis_pubescens,24.415727,-81.231789,1999
Physalis_pubescens,24.415727,-81.231789,1999
Portulaca_oleracea,24.415727,-81.231789,1999
Rhynchospora_floridensis,24.415727,-81.231789,1999
Sisyrinchium_nashii,24.415727,-81.231789,1999
Eustachys_petraea,24.415727,-81.231789,2000
Emilia_fosbergii,24.415727,-81.231789,2000
Coreopsis_leavenworthii,24.415727,-81.231789,2000
Conyza_canadensis,24.415727,-81.231789,2000
Agalinis_fasciculata,24.415727,-81.231789,2000
Paspalum_blodgettii,24.415727,-81.231789,2000
Paspalum_caespitosum,24.415727,-81.231789,2000
Phyllanthus_pentaphyllus,24.415727,-81.231789,2000
Polygala_violacea,24.415727,-81.231789,2000
Rhynchospora_floridensis,24.415727,-81.231789,2000
Rhynchospora_floridensis,24.415727,-81.231789,2000
Schizachyrium_sanguineum,24.415727,-81.231789,2000
Heliotropium_polyphyllum,24.420035,-81.231908,1998
Cladium_jamaicense,24.420035,-81.231908,1998
Eleusine_indica,24.420035,-81.231908,1998
Pluchea_odorata,24.420035,-81.231908,1998
Sabatia_stellaris,24.420035,-81.231908,1998
Sabatia_stellaris,24.420035,-81.231908,1998
Sabatia_stellaris,24.420035,-81.231908,1998
Sabatia_stellaris,24.420035,-81.231908,1998
Sisyrinchium_nashii,24.420035,-81.231908,1998
Tridax_procumbens,24.420035,-81.231908,1998
Cladium_jamaicense,24.420035,-81.231908,1999
Flaveria_linearis,24.420035,-81.231908,1999
Fatoua_villosa,24.420035,-81.231908,1999
Ernodea_littoralis,24.420035,-81.231908,1999
Eleocharis_geniculata,24.420035,-81.231908,1999
Digitaria_ciliaris,24.420035,-81.231908,1999
Chamaesyce_hypericifolia,24.420035,-81.231908,1999
Chamaesyce_hirta,24.420035,-81.231908,1999
Ludwigia_curtissii,24.420035,-81.231908,1999
Mikania_scandens,24.420035,-81.231908,1999
Mitreola_sessilifolia,24.420035,-81.231908,1999
Physalis_pubescens,24.420035,-81.231908,1999
Rhynchospora_floridensis,24.420035,-81.231908,1999
Sabatia_stellaris,24.420035,-81.231908,1999
Sabatia_stellaris,24.420035,-81.231908,1999
Sisyrinchium_angustifolium,24.420035,-81.231908,1999
Sisyrinchium_nashii,24.420035,-81.231908,1999
Urochloa_distachya,24.420035,-81.231908,1999
Chamaesyce_hypericifolia,24.420035,-81.231908,2000
Fimbristylis_cymosa,24.420035,-81.231908,2000
Evolvulus_sericeus,24.420035,-81.231908,2000
Dichanthelium_aciculare,24.420035,-81.231908,2000
Dichanthelium_aciculare,24.420035,-81.231908,2000
Muhlenbergia_capillaris,24.420035,-81.231908,2000
Paspalum_blodgettii,24.420035,-81.231908,2000
Paspalum_caespitosum,24.420035,-81.231908,2000
Sabatia_stellaris,24.420035,-81.231908,2000
Scleria_verticillata,24.420035,-81.231908,2000
Scleria_verticillata,24.420035,-81.231908,2000
Scleria_verticillata,24.420035,-81.231908,2000
Emilia_fosbergii,24.420491,-81.2321,1999
Digitaria_ciliaris,24.420491,-81.2321,1999
Mitreola_sessilifolia,24.420491,-81.2321,1999
Mitreola_sessilifolia,24.420491,-81.2321,1999
Mitreola_sessilifolia,24.420491,-81.2321,1999
Paspalum_blodgettii,24.420491,-81.2321,1999
Elytraria_caroliniensis,24.420491,-81.2321,2000
Panicum_rigidulum,24.420491,-81.2321,2000
Phyllanthus_pentaphyllus,24.420491,-81.2321,2000
Emilia_fosbergii,24.421182,-81.223824,1999
Conyza_canadensis,24.421182,-81.223824,1999
Bacopa_monnieri,24.421182,-81.223824,1999
Mitreola_sessilifolia,24.421182,-81.223824,1999
Polygala_violacea,24.421182,-81.223824,1999
Portulaca_oleracea,24.421182,-81.223824,1999
Fimbristylis_cymosa,24.421182,-81.223824,2000
Mitreola_sessilifolia,24.421182,-81.223824,2000
Mitreola_sessilifolia,24.421182,-81.223824,2000
Stenaria_nigricans,24.421463,-81.224028,1999
Stenaria_nigricans,24.421463,-81.224028,1999
Stenaria_nigricans,24.421463,-81.224028,1999
Evolvulus_sericeus,24.421463,-81.224028,1999
Ernodea_littoralis,24.421463,-81.224028,1999
Ernodea_littoralis,24.421463,-81.224028,1999
Emilia_fosbergii,24.421463,-81.224028,1999
Emilia_fosbergii,24.421463,-81.224028,1999
Digitaria_ciliaris,24.421463,-81.224028,1999
Cyperus_surinamensis,24.421463,-81.224028,1999
Chamaecrista_lineata,24.421463,-81.224028,1999
Ludwigia_microcarpa,24.421463,-81.224028,1999
Mitreola_sessilifolia,24.421463,-81.224028,1999
Panicum_rigidulum,24.421463,-81.224028,1999
Panicum_rigidulum,24.421463,-81.224028,1999
Panicum_rigidulum,24.421463,-81.224028,1999
Portulaca_oleracea,24.421463,-81.224028,1999
Rhynchospora_floridensis,24.421463,-81.224028,1999
Digitaria_bicornis,24.421463,-81.224028,2000
Panicum_rigidulum,24.421463,-81.224028,2000
Agalinis_fasciculata,24.423176,-81.225143,1999
Agalinis_fasciculata,24.423176,-81.225143,1999
Mitreola_sessilifolia,24.423176,-81.225143,1999
Rhynchospora_floridensis,24.423176,-81.225143,1999
Ruellia_caroliniensis,24.423176,-81.225143,1999
Fimbristylis_cymosa,24.423176,-81.225143,2000
Flaveria_linearis,24.423176,-81.225143,2000
Eustachys_petraea,24.423176,-81.225143,2000
Eragrostis_elliottii,24.423176,-81.225143,2000
Rhynchospora_floridensis,24.423176,-81.225143,2000
Rhynchospora_floridensis,24.423176,-81.225143,2000
Schizachyrium_sanguineum,24.423176,-81.225143,2000
Portulaca_oleracea,24.423921,-81.225656,1998
Flaveria_linearis,24.423921,-81.225656,1999
Chiococca_alba,24.423921,-81.225656,1999
Agalinis_fasciculata,24.423921,-81.225656,1999
Mitreola_sessilifolia,24.423921,-81.225656,1999
Digitaria_filiformis,24.423921,-81.225656,2000
Digitaria_filiformis,24.423921,-81.225656,2000
Digitaria_filiformis,24.423921,-81.225656,2000
Chamaecrista_lineata,24.423921,-81.225656,2000
Chamaecrista_lineata,24.423921,-81.225656,2000
Schizachyrium_sanguineum,24.423921,-81.225656,2000
Emilia_fosbergii,24.42415727,-81.231789,1999
Emilia_fosbergii,24.42415727,-81.231789,1999
Digitaria_bicornis,24.424458,-81.233438,1999
Evolvulus_sericeus,24.424458,-81.233438,1999
Eustachys_petraea,24.424458,-81.233438,1999
Eustachys_petraea,24.424458,-81.233438,1999
Eustachys_petraea,24.424458,-81.233438,1999
Eustachys_petraea,24.424458,-81.233438,1999
Eustachys_petraea,24.424458,-81.233438,1999
Eustachys_petraea,24.424458,-81.233438,1999
Eustachys_petraea,24.424458,-81.233438,1999
Eleusine_indica,24.424458,-81.233438,1999
Emilia_fosbergii,24.424458,-81.233438,1999
Digitaria_bicornis,24.424458,-81.233438,1999
Digitaria_bicornis,24.424458,-81.233438,1999
Croton_linearis,24.424458,-81.233438,1999
Chamaesyce_thymifolia,24.424458,-81.233438,1999
Chamaecrista_nictitans,24.424458,-81.233438,1999
Chamaesyce_hypericifolia,24.424458,-81.233438,1999
Chamaesyce_hypericifolia,24.424458,-81.233438,1999
Chamaesyce_hypericifolia,24.424458,-81.233438,1999
Chamaesyce_hypericifolia,24.424458,-81.233438,1999
Chamaesyce_hypericifolia,24.424458,-81.233438,1999
Chamaesyce_blodgettii,24.424458,-81.233438,1999
Chamaesyce_blodgettii,24.424458,-81.233438,1999
Cardamine_pensylvanica,24.424458,-81.233438,1999
Acalypha_chamaedrifolia,24.424458,-81.233438,1999
Acalypha_chamaedrifolia,24.424458,-81.233438,1999
Acalypha_chamaedrifolia,24.424458,-81.233438,1999
Abildgaardia_ovata,24.424458,-81.233438,1999
Abildgaardia_ovata,24.424458,-81.233438,1999
Abildgaardia_ovata,24.424458,-81.233438,1999
Abildgaardia_ovata,24.424458,-81.233438,1999
Abildgaardia_ovata,24.424458,-81.233438,1999
Abildgaardia_ovata,24.424458,-81.233438,1999
Abildgaardia_ovata,24.424458,-81.233438,1999
Hypoxis_wrightii,24.424458,-81.233438,1999
Hypoxis_wrightii,24.424458,-81.233438,1999
Hypoxis_wrightii,24.424458,-81.233438,1999
Ludwigia_microcarpa,24.424458,-81.233438,1999
Melanthera_nivea,24.424458,-81.233438,1999
Melanthera_nivea,24.424458,-81.233438,1999
Mitreola_sessilifolia,24.424458,-81.233438,1999
Mitreola_sessilifolia,24.424458,-81.233438,1999
Mitreola_sessilifolia,24.424458,-81.233438,1999
Mitreola_sessilifolia,24.424458,-81.232151,1999
Mitreola_sessilifolia,24.424458,-81.2321,1999
Oxalis_corniculata,24.424458,-81.233438,1999
Paspalum_caespitosum,24.424458,-81.233438,1999
Paspalum_caespitosum,24.424458,-81.233438,1999
Parietaria_floridana,24.424458,-81.233438,1999
Phyla_nodiflora,24.424458,-81.233438,1999
Phyllanthus_pentaphyllus,24.424458,-81.233438,1999
Phyllanthus_pentaphyllus,24.424458,-81.233438,1999
Phyllanthus_tenellus,24.424458,-81.233438,1999
Pluchea_baccharis,24.424458,-81.233438,1999
Rhynchospora_floridensis,24.424458,-81.233438,1999
Rhynchospora_floridensis,24.424458,-81.233438,1999
Rhynchospora_floridensis,24.424458,-81.233438,1999
Rhynchospora_floridensis,24.424458,-81.233438,1999
Rhynchospora_floridensis,24.424458,-81.233438,1999
Rhynchospora_floridensis,24.424458,-81.233438,1999
Ruellia_succulenta,24.424458,-81.233438,1999
Ruellia_succulenta,24.424458,-81.233438,1999
Ruellia_succulenta,24.424458,-81.231223,1999
Scleria_verticillata,24.424458,-81.233438,1999
Scleria_verticillata,24.424458,-81.233438,1999
Scleria_verticillata,24.424458,-81.233438,1999
Eustachys_petraea,24.424458,-81.233438,2000
Eustachys_petraea,24.424458,-81.233438,2000
Eustachys_petraea,24.424458,-81.233438,2000
Eragrostis_elliottii,24.424458,-81.233438,2000
Eragrostis_elliottii,24.424458,-81.233438,2000
Eragrostis_elliottii,24.424458,-81.233438,2000
Dyschoriste_angusta,24.424458,-81.233438,2000
Digitaria_bicornis,24.424458,-81.233438,2000
Crotalaria_rotundifolia,24.424458,-81.233438,2000
Abildgaardia_ovata,24.424458,-81.233438,2000
Pinguicula_pumila,24.424458,-81.233438,2000
Rhynchospora_floridensis,24.424458,-81.233438,2000
Rhynchospora_floridensis,24.424458,-81.233438,2000
Rhynchospora_floridensis,24.424458,-81.233438,2000
Scleria_verticillata,24.424458,-81.233438,2000
Scleria_verticillata,24.424458,-81.233438,2000
Scleria_verticillata,24.424458,-81.233438,2000
Schizachyrium_sanguineum,24.424458,-81.233438,2000
Sisyrinchium_angustifolium,24.424458,-81.233438,2000
Sisyrinchium_angustifolium,24.424458,-81.233438,2000
Sorghastrum_secundum,24.424458,-81.233438,2000
Sorghastrum_secundum,24.424458,-81.233438,2000
Sorghastrum_secundum,24.424458,-81.233438,2000
Stenaria_nigricans,24.424477,-81.231229,1999
Stenaria_nigricans,24.424477,-81.231229,1999
Stenaria_nigricans,24.424477,-81.231229,1999
Stenaria_nigricans,24.424477,-81.231229,1999
Galactia_volubilis,24.424477,-81.231229,1999
Flaveria_linearis,24.424477,-81.231229,1999
Flaveria_linearis,24.424477,-81.231229,1999
Evolvulus_sericeus,24.424477,-81.231229,1999
Evolvulus_sericeus,24.424477,-81.231229,1999
Eustachys_petraea,24.424477,-81.231229,1999
Eustachys_petraea,24.424477,-81.231229,1999
Eustachys_petraea,24.424477,-81.231229,1999
Eustachys_petraea,24.424477,-81.231229,1999
Eustachys_petraea,24.424477,-81.231229,1999
Ernodea_littoralis,24.424477,-81.231229,1999
Ernodea_littoralis,24.424477,-81.231229,1999
Emilia_fosbergii,24.424477,-81.231229,1999
Emilia_fosbergii,24.424477,-81.231229,1999
Digitaria_filiformis,24.424477,-81.231229,1999
Digitaria_filiformis,24.424477,-81.231229,1999
Digitaria_ciliaris,24.424477,-81.231229,1999
Digitaria_ciliaris,24.424477,-81.231229,1999
Digitaria_bicornis,24.424477,-81.231229,1999
Digitaria_bicornis,24.424477,-81.231229,1999
Digitaria_bicornis,24.424477,-81.231229,1999
Cyperus_polystachyos,24.424477,-81.231229,1999
