"name","longitude","latitude","prov","date","key"
"Liatris cylindracea",-87.54422,41.759603,"gbif",2018-04-28,"1847423249"
"Liatris cylindracea",-89.498628,42.687255,"gbif",2018-07-18,"1883562246"
"Liatris cylindracea",-90.750575,44.300332,"gbif",2018-07-30,"1890724619"
"Liatris cylindracea",-80.102963,43.418098,"gbif",2018-07-30,"1890071904"
"Liatris cylindracea",-87.54423,41.759613,"gbif",2018-07-29,"1890064325"
"Liatris cylindracea",-91.401393,43.958661,"gbif",2018-07-22,"1883943054"
"Liatris cylindracea",-90.750281,44.297411,"gbif",2018-07-30,"1890707606"
"Liatris cylindracea",-81.800593,43.287168,"gbif",2018-07-19,"1883563104"
"Liatris cylindracea",-91.412429,43.951581,"gbif",2018-07-21,"1883931517"
"Liatris cylindracea",-91.018288,42.734123,"gbif",2018-07-23,"1890039481"
"Liatris cylindracea",-91.409485,43.957527,"gbif",2018-07-21,"1914310744"
"Liatris cylindracea",-88.255051,42.014775,"gbif",2018-07-31,"1891295584"
"Liatris cylindracea",-87.573315,41.78203,"gbif",2018-07-24,"1890059904"
"Liatris cylindracea",-83.752559,44.534817,"gbif",2018-07-05,"1883963011"
"Liatris cylindracea",-81.874057,43.238293,"gbif",2018-07-19,"1883938526"
"Liatris cylindracea",-80.102967,43.418075,"gbif",2018-07-28,"1890054025"
"Liatris cylindracea",-89.498628,42.687256,"gbif",2018-07-18,"1990471361"
"Liatris cylindracea",-80.102962,43.418005,"gbif",2018-07-29,"1890081687"
"Liatris cylindracea",-88.255982,42.012838,"gbif",2018-07-29,"1890059243"
"Liatris cylindracea",-81.835281,43.250832,"gbif",2018-07-30,"1890074211"
"Liatris cylindracea",-80.102965,43.418012,"gbif",2018-07-30,"1890704439"
"Liatris cylindracea",-83.690366,42.303372,"gbif",2018-07-29,"1899767042"
"Liatris cylindracea",-83.601553,42.232797,"gbif",2018-07-29,"1890674100"
"Liatris cylindracea",-84.493306,39.06933,"gbif",2018-07-25,"1920787697"
"Liatris cylindracea",-79.466456,43.647162,"gbif",2018-07-30,"1890074974"
"Liatris cylindracea",-89.385381,41.923832,"gbif",2018-08-08,"1891325032"
"Liatris cylindracea",-89.333111,41.238924,"gbif",2018-08-03,"1890680138"
"Liatris cylindracea",-89.058344,42.990049,"gbif",2018-08-25,"1901036256"
"Liatris cylindracea",-87.873047,41.773038,"gbif",2018-08-11,"1891310532"
"Liatris cylindracea",-87.804743,42.417223,"gbif",2018-08-22,"1948753365"
"Liatris cylindracea",-89.369645,41.900804,"gbif",2018-08-18,"1914195583"
"Liatris cylindracea",-81.848147,42.259123,"gbif",2018-08-14,"1901034927"
"Liatris cylindracea",-89.057719,42.989931,"gbif",2018-08-05,"1890710637"
"Liatris cylindracea",-87.804716,42.418416,"gbif",2018-08-17,"1898800066"
"Liatris cylindracea",-89.772152,43.139792,"gbif",2018-08-03,"1890715967"
"Liatris cylindracea",-89.77281,43.140061,"gbif",2018-08-14,"1898834091"
"Liatris cylindracea",-87.808492,42.422088,"gbif",2018-08-04,"1890688568"
"Liatris cylindracea",-86.046111,42.768941,"gbif",2018-08-18,"1914348645"
"Liatris cylindracea",-87.805145,42.418891,"gbif",2018-08-17,"1898800190"
"Liatris cylindracea",-91.811934,38.143298,"gbif",2018-08-13,"2006091296"
"Liatris cylindracea",-91.071923,37.096738,"gbif",2018-08-31,"1914352037"
"Liatris cylindracea",-88.315176,42.195749,"gbif",2018-08-09,"1891334163"
"Liatris cylindracea",-92.656928,44.525597,"gbif",2018-08-21,"1898843056"
"Liatris cylindracea",-87.802631,42.450063,"gbif",2018-08-19,"1914195758"
"Liatris cylindracea",-81.844087,42.281628,"gbif",2018-08-12,"1891325190"
"Liatris cylindracea",-89.05806,42.98947,"gbif",2018-08-18,"1898834065"
"Liatris cylindracea",-87.801434,42.45066,"gbif",2018-08-03,"1914194648"
"Liatris cylindracea",-79.466524,43.64636,"gbif",2018-08-19,"2005266956"
"Liatris cylindracea",-87.573315,41.78203,"gbif",2018-08-18,"1914196356"
"Liatris cylindracea",-77.953772,44.141197,"gbif",2018-08-07,"1890712871"
"Liatris cylindracea",-87.573315,41.78203,"gbif",2018-08-11,"1891327188"
"Liatris cylindracea",-80.103097,43.41866,"gbif",2018-08-07,"1890710150"
"Liatris cylindracea",-87.787647,41.867169,"gbif",2018-08-14,"1914195357"
"Liatris cylindracea",-88.312258,42.149568,"gbif",2018-08-17,"1898797804"
"Liatris cylindracea",-81.846095,42.262186,"gbif",2018-08-05,"1890698827"
"Liatris cylindracea",-87.802686,42.45021,"gbif",2018-08-18,"1898810701"
"Liatris cylindracea",-89.060146,42.99205,"gbif",2018-09-08,"1913164558"
"Liatris cylindracea",-88.255078,42.014748,"gbif",2018-09-16,"1913685389"
"Liatris cylindracea",-89.058414,42.989098,"gbif",2018-09-08,"1913165897"
"Liatris cylindracea",-81.841872,42.280725,"gbif",2018-09-08,"1913178556"
"Liatris cylindracea",-87.745475,40.214625,"gbif",2018-10-14,"1931503491"
"Liatris cylindracea",-87.80004,42.454542,"gbif",2018-10-06,"1920805907"
"Liatris cylindracea",-90.54347,38.202235,"gbif",2018-10-01,"1914345018"
"Liatris cylindracea",-80.591909,42.701246,"gbif",2018-10-13,"1931495094"
"Liatris cylindracea",-87.746411,40.215638,"gbif",2018-10-14,"1931503386"
"Liatris cylindracea",-87.930441,42.571676,"gbif",2018-10-13,"1932309128"
"Liatris cylindracea",-88.362315,42.090766,"gbif",2017-07-03,"1836687918"
"Liatris cylindracea",-89.059734,42.990129,"gbif",2017-07-23,"1640081143"
"Liatris cylindracea",-79.463226,43.650664,"gbif",2017-07-12,"1586098036"
"Liatris cylindracea",-89.744186,44.279514,"gbif",2017-07-09,"1572386698"
"Liatris cylindracea",-88.482017,42.871471,"gbif",2017-07-27,"1586107794"
"Liatris cylindracea",-89.809539,43.105928,"gbif",2017-07-30,"1640088544"
"Liatris cylindracea",-89.057388,42.991246,"gbif",2017-07-14,"1640041333"
"Liatris cylindracea",-89.394489,43.182406,"gbif",2017-07-30,"1668883155"
"Liatris cylindracea",-90.918751,43.034808,"gbif",2017-08-12,"1586936620"
"Liatris cylindracea",-90.801562,44.320644,"gbif",2017-08-20,"1621801032"
"Liatris cylindracea",-90.595502,43.176815,"gbif",2017-08-12,"1586938713"
"Liatris cylindracea",-89.060393,42.991986,"gbif",2017-08-18,"1621782908"
"Liatris cylindracea",-83.417159,38.976409,"gbif",2017-08-19,"2236221183"
"Liatris cylindracea",-90.594284,43.17674,"gbif",2017-08-12,"1586939642"
"Liatris cylindracea",-89.059091,42.990851,"gbif",2017-08-26,"1668826441"
"Liatris cylindracea",-81.981645,43.206482,"gbif",2017-08-28,"1668843264"
"Liatris cylindracea",-89.515405,43.02454,"gbif",2017-08-06,"1640092507"
"Liatris cylindracea",-89.059734,42.990129,"gbif",2017-08-05,"1677281046"
"Liatris cylindracea",-87.546497,41.758598,"gbif",2017-08-12,"1586934321"
"Liatris cylindracea",-89.058082,42.98948,"gbif",2017-08-14,"1586947741"
"Liatris cylindracea",-90.594095,43.178721,"gbif",2017-08-12,"1640104348"
"Liatris cylindracea",-89.059579,42.990665,"gbif",2017-08-26,"1640121164"
"Liatris cylindracea",-77.953556,44.141337,"gbif",2017-08-23,"1621802202"
"Liatris cylindracea",-89.12631,40.656817,"gbif",2017-08-20,"1640049023"
"Liatris cylindracea",-77.953167,44.141341,"gbif",2017-08-23,"1621802198"
"Liatris cylindracea",-87.804612,42.417395,"gbif",2017-08-13,"1677326118"
"Liatris cylindracea",-90.921084,43.034579,"gbif",2017-08-12,"1640119043"
"Liatris cylindracea",-89.126865,40.657331,"gbif",2017-08-23,"1640099964"
"Liatris cylindracea",-77.953654,44.14112,"gbif",2017-08-10,"1993753945"
"Liatris cylindracea",-87.804833,42.41762,"gbif",2017-08-19,"1621782362"
"Liatris cylindracea",-89.771921,43.139768,"gbif",2017-08-25,"1640090810"
"Liatris cylindracea",-90.511108,41.436784,"gbif",2017-08-07,"1586148475"
"Liatris cylindracea",-89.018678,42.3285,"gbif",2017-08-06,"1586144059"
"Liatris cylindracea",-83.465039,38.80499,"gbif",2017-08-19,"2236221520"
"Liatris cylindracea",-89.188418,42.9309,"gbif",2017-08-05,"1703207537"
"Liatris cylindracea",-84.650493,44.656164,"gbif",2017-08-04,"1586925946"
"Liatris cylindracea",-86.305093,35.851914,"gbif",2017-08-25,"1914197983"
"Liatris cylindracea",-77.953691,44.141525,"gbif",2017-08-23,"1621802338"
"Liatris cylindracea",-77.952811,44.141422,"gbif",2017-09-05,"1640099376"
"Liatris cylindracea",-89.392433,43.183557,"gbif",2017-09-19,"1831149516"
"Liatris cylindracea",-77.953133,44.141464,"gbif",2017-09-05,"1699378358"
"Liatris cylindracea",-89.493395,42.698406,"gbif",2017-09-06,"1640104962"
"Liatris cylindracea",-89.717984,43.131561,"gbif",2017-09-08,"1640120915"
"Liatris cylindracea",-92.16922,35.968226,"gbif",2017-09-03,"1640089470"
"Liatris cylindracea",-87.57608,41.714596,"gbif",2016-07-26,"1291154225"
"Liatris cylindracea",-83.223447,45.883781,"gbif",2016-07-24,"2012952611"
"Liatris cylindracea",-87.906887,42.482173,"gbif",2016-07-30,"1453168650"
"Liatris cylindracea",-82.729584,45.796107,"gbif",2016-07-24,"2012952614"
"Liatris cylindracea",-89.057569,42.990355,"gbif",2016-07-30,"1291159304"
