"locality string","country","state","county","latitude","longitude","correction status","precision","error polygon","multiple results","ID","name","basis"
"locality:  NA, occurrenceRemarks: Confirmed by AL State Botanist. State record for Alabama. Found in DeSoto State Park, verbatimLocality: NA",NA,NA,NA,NA,NA,"","","","","1899815243","Shortia galacifolia Torr. & A.Gray","HUMAN_OBSERVATION"
"locality:  NA, occurrenceRemarks: Oconee Bells. 300+ clone continually spreading down a wet, shady S-running drainage. Flower white, just a few in bloom., verbatimLocality: NA","United States of America","South Carolina","Oconee",NA,NA,"","","","","3344492471","Shortia galacifolia Torr. & A.Gray","PRESERVED_SPECIMEN"
"locality:  Fuller Tract, upland woods to ravines., occurrenceRemarks: Persistent in ravine after transplant from the Carolinas, verbatimLocality: NA","United States of America","Kentucky","Powell",NA,NA,"","","","","1978078632","Shortia galacifolia Torr. & A.Gray","PRESERVED_SPECIMEN"
"locality:  NA, occurrenceRemarks: Locally common; Flowers white, leaves evergreen, verbatimLocality: NA","United States of America","South Carolina","Pickens",NA,NA,"","","","","2573019309","Shortia galacifolia Torr. & A.Gray","PRESERVED_SPECIMEN"
"locality:  Shortia Site：Off Scenic Hwy. 11，directly above Six Mile. 6.5 miles on Roy F. Jones Rd. (S-39-143) from intersection with Scenic Hwy.11.Just across Cane Creek bridge.Oconee County, occurrenceRemarks: NA, verbatimLocality: NA","United States of America","South Carolina State","Oconee County",NA,NA,"","","","","4042820539","Shortia galacifolia Torr. & A.Gray","PRESERVED_SPECIMEN"
"locality:  Sapphire, occurrenceRemarks: NA, verbatimLocality: NA","United States of America","North Carolina","Transylvania County",NA,NA,"","","","","1849110124","Shortia galacifolia Torr. & A.Gray","PRESERVED_SPECIMEN"
"locality:  E of Lake Jocassee, vicinity of Cane Creek and Roy Jones Highway. Cleo Chapman Road extension, N of Rte. 11., occurrenceRemarks: NA, verbatimLocality: NA","United States of America","South Carolina","Pickens Co.",NA,NA,"","","","","2251690710","Shortia galacifolia Torr. & A.Gray","PRESERVED_SPECIMEN"
"locality:  ""E of Lake Jocassee,vicinity of Cane Creek and Roy Jones Highway.Cleo Chapman road extension,N of Rte"", occurrenceRemarks: NA, verbatimLocality: NA","United States of America",NA,NA,NA,NA,"","","","","4042772995","Shortia galacifolia Torr. & A.Gray","PRESERVED_SPECIMEN"
"locality:  NA, occurrenceRemarks: Locally abundant; Flowers white to pale pink, few in flower; leaves evergreen, lustrous, verbatimLocality: NA","United States of America","South Carolina","Pickens",NA,NA,"","","","","2573018378","Shortia galacifolia Torr. & A.Gray","PRESERVED_SPECIMEN"
"locality:  ""South Carolian Rd.130,7.4 miles from North Carolina Line,Oconee Co.,South Carolina"", occurrenceRemarks: NA, verbatimLocality: NA","United States of America",NA,NA,NA,NA,"","","","","4042561310","Shortia galacifolia Torr. & A.Gray","PRESERVED_SPECIMEN"
"locality:  NA, occurrenceRemarks: Locally frequent; Flowers white, mostly past, verbatimLocality: NA","United States of America","South Carolina","Oconee",NA,NA,"","","","","2573018588","Shortia galacifolia Torr. & A.Gray","PRESERVED_SPECIMEN"
"locality:  NA, occurrenceRemarks: Flowers white, mostly past, verbatimLocality: NA","United States of America","South Carolina","Oconee",NA,NA,"","","","","2234462338","Shortia galacifolia Torr. & A.Gray","PRESERVED_SPECIMEN"
"locality:  John's Creek/Fish Hatchery, occurrenceRemarks: NA, verbatimLocality: NA","United States of America","North Carolina","McDowell",NA,NA,"","","","","2273382452","Shortia galacifolia Torr. & A.Gray","PRESERVED_SPECIMEN"
"locality:  Highlands Biological Station, Highlands, occurrenceRemarks: NA, verbatimLocality: NA","United States of America","North Carolina","Macon",NA,NA,"","","","","2859104170","Shortia galacifolia Torr. & A.Gray","PRESERVED_SPECIMEN"
"locality:  Locality Not Recorded, occurrenceRemarks: NA, verbatimLocality: NA","United States of America","North Carolina",NA,NA,NA,"","","","","1849117502","Shortia galacifolia Torr. & A.Gray","PRESERVED_SPECIMEN"
"locality:  Locality Not Recorded, occurrenceRemarks: NA, verbatimLocality: NA","United States of America","North Carolina","McDowell County",NA,NA,"","","","","1849140127","Shortia galacifolia Torr. & A.Gray","PRESERVED_SPECIMEN"
"locality:  NA, occurrenceRemarks: Rich woods on stream banks. [Label generated from hand-written notes present on reverse of specimen mount; specimens gifted to BRIT Herbarium January 2019]., verbatimLocality: NA","United States of America","South Carolina","Oconee",NA,NA,"","","","","3969850917","Shortia galacifolia Torr. & A.Gray","PRESERVED_SPECIMEN"
"locality:  Highlands Biological Station, Highlands, occurrenceRemarks: NA, verbatimLocality: NA","United States of America","North Carolina","Macon",NA,NA,"","","","","2859380062","Shortia galacifolia Torr. & A.Gray","PRESERVED_SPECIMEN"
"locality:  Near Asheville, Buncombe County, North Carolina., occurrenceRemarks: NA, verbatimLocality: NA","United States of America","North Carolina","Buncombe",NA,NA,"","","","","2242401789","Shortia galacifolia Torr. & A.Gray","PRESERVED_SPECIMEN"
"locality:  Devil's Fork, one mi. W of confluence with Whitewater River, Jocassee community, occurrenceRemarks: NA, verbatimLocality: NA","United States of America","South Carolina","Oconee",NA,NA,"","","","","3125113956","Shortia galacifolia Torr. & A.Gray","PRESERVED_SPECIMEN"
"locality:  devil's for, one mile west of confluence with Whitewater river, jacasses community, occurrenceRemarks: NA, verbatimLocality: NA","United States of America","South Carolina",NA,NA,NA,"","","","","1988183134","Shortia galacifolia Torr. & A.Gray","PRESERVED_SPECIMEN"
"locality:  South Carolina; Oconee County; Devil's Fork, one mile west of confluence with Whitewater River, Jocassee community. Eastfacing, shaded stream bank in rich hardwoods; Southeastern United States, occurrenceRemarks: NA, verbatimLocality: NA","United States of America",NA,NA,NA,NA,"","","","","4073128855","Shortia galacifolia Torr. & A.Gray","PRESERVED_SPECIMEN"
"locality:  South Carolina, Oconee County, Devil's Fork, one mile west of confluence with Whitewater River, Jocassee community. East facing, shaded stream bank in rich hardwoods., occurrenceRemarks: NA, verbatimLocality: NA","United States of America",NA,NA,NA,NA,"","","","","2515368477","Shortia galacifolia Torr. & A.Gray","PRESERVED_SPECIMEN"
"locality:  Bunches Creek, on mossy bank near creek just off Big Cove Road, Cherokee, N.C., occurrenceRemarks: NA, verbatimLocality: NA","United States of America","North Carolina","Swain",NA,NA,"","","","","2234460789","Shortia galacifolia Torr. & A.Gray","PRESERVED_SPECIMEN"
"locality:  Cultivated New York, Nassau County, Sands Point, Creem property, occurrenceRemarks: NA, verbatimLocality: NA","United States of America","New York","Nassau",NA,NA,"","","","","2234461408","Shortia galacifolia Torr. & A.Gray","PRESERVED_SPECIMEN"
"locality:  Cove near Horsepasture River D P Co. Tract, occurrenceRemarks: NA, verbatimLocality: NA","United States of America","North Carolina","Macon",NA,NA,"","","","","2234461670","Shortia galacifolia Torr. & A.Gray","PRESERVED_SPECIMEN"
"locality:  By stream of Campsite, occurrenceRemarks: NA, verbatimLocality: NA","United States of America","North Carolina","Transylvania",NA,NA,"","","","","2234463543","Shortia galacifolia Torr. & A.Gray","PRESERVED_SPECIMEN"
"locality:  Keowee River., occurrenceRemarks: Rare!, verbatimLocality: NA","United States of America","South Carolina","Pickens",NA,NA,"","","","","2412539931","Shortia galacifolia Torr. & A.Gray","PRESERVED_SPECIMEN"
"locality:  NA, occurrenceRemarks: Abundant, verbatimLocality: NA","United States of America","South Carolina","Oconee",NA,NA,"","","","","4010659159","Shortia galacifolia Torr. & A.Gray","PRESERVED_SPECIMEN"
"locality:  Rabun County, GA, occurrenceRemarks: NA, verbatimLocality: NA","United States of America","Georgia","Rabun County",NA,NA,"","","","","3709821776","Shortia galacifolia Torr. & A.Gray","PRESERVED_SPECIMEN"
"locality:  Rabun County, GA, occurrenceRemarks: NA, verbatimLocality: NA","United States of America","Georgia","Rabun County",NA,NA,"","","","","3709836270","Shortia galacifolia Torr. & A.Gray","PRESERVED_SPECIMEN"
"locality:  Near Toxaway, N.C. 16 miles from the highway. Sent us by R.P. Ashworth. Collected by Jack Dendy and D.S. Trammele and first transplanted to Henderson, N.C., occurrenceRemarks: NA, verbatimLocality: NA","United States of America","North Carolina",NA,NA,NA,"","","","","2234461710","Shortia galacifolia Torr. & A.Gray","PRESERVED_SPECIMEN"
"locality:  San Diego, occurrenceRemarks: NA, verbatimLocality: NA","United States of America","California","San Diego",NA,NA,"","","","","3465126459","Shortia galacifolia Torr. & A.Gray","PRESERVED_SPECIMEN"
"locality:  By Whitewater River, above Jocassee, occurrenceRemarks: NA, verbatimLocality: NA","United States of America","South Carolina","Oconee Co.",NA,NA,"","","","","2251690133","Shortia galacifolia Torr. & A.Gray","PRESERVED_SPECIMEN"
"locality:  white river, above jacassee, oconee County, occurrenceRemarks: NA, verbatimLocality: NA","United States of America","South Carolina",NA,NA,NA,"","","","","1988090355","Shortia galacifolia Torr. & A.Gray","PRESERVED_SPECIMEN"
"locality:  Shady banks under Rhododendron and Kalmia, by Whitewater, above Jocassee, Oconee County, occurrenceRemarks: NA, verbatimLocality: NA","United States of America",NA,NA,NA,NA,"","","","","4072678976","Shortia galacifolia Torr. & A.Gray","PRESERVED_SPECIMEN"
